번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
1378,미래태양광,3.00294,강원,강원 춘천시 퇴계농공로,37.847824,127.74347,춘천,False
29294,유천SG태양광,2.031575,강원,강원 정선군 여량면,37.470592,128.72052,정선군,True
1379,미래영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,True
21124,철원3태양광,1.37376,강원,강원 철원군 갈말읍,38.147724,127.308304,철원,True
12782,남전인제태양광,0.3,강원,강원 인제군 남면,37.96588,128.08333000000002,인제,True
45883,용화에너지 태양광발전기,0.868,강원,강원 영월군,37.183685,128.46178,영월,True
56292,유림이피씨 해상태양광발전소,0.99756,강원,강원 고성군 간성읍,38.378384,128.46686,속초,False
55174,문막포진리태양광발전소,1.50453,강원,강원 원주시 문막읍,37.312626,127.8172,원주,False
4628,내린천3태양광,2.50074,강원,강원 홍천군 내면,37.77381,128.38974,대관령,True
1460,내린천4태양광,2.08512,강원,강원 홍천군 내면,37.77381,128.38974,대관령,True
1461,내린천태양광,1.41696,강원,강원 홍천군 내면,37.77381,128.38974,대관령,True
40501,문막포진리 태양광발전소 4호,0.99792,강원,강원 원주시 문막읍,37.312626,127.8172,원주,True
2720,무이태양광발전소,1.48104,강원,강원 평창군 봉평면,37.61619,128.37949,대관령,True
2051,우진영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,영월,True
56279,웅이태양광,0.99981,강원,강원 삼척시 하장면,37.34944,128.94307,태백,True
21395,원주그린솔라태양광,2.46375,강원,강원 원주시 부론면,37.207603,127.750496,원주,True
1644,원주메탈1기태양광,0.49896,강원,강원 원주시 문막읍,37.312626,127.8172,원주,True
58224,지혜2호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,태백,True
58223,지혜1호 태양광발전소,0.99792,강원,강원도 정선군 사북읍,37.227726,128.82181,태백,True
56366,지티씨솔라2호,1.99485,강원,강원 철원군 갈말읍,38.147724,127.308304,철원,True
58076,지이케이 태양광발전소,1.72638,강원,강원 평창군 방림면,37.42645,128.39423,영월,True
4621,리치1호 태양광발전,1.50732,강원,강원 정선군 신동읍,37.2182,128.67143000000002,정선군,True
67119,지동리북 태양광발전소,0.99858,강원,강원 평창군 평창읍,37.3689,128.39723,영월,False
47489,원희태양광,0.4788,강원,강원 평창군 평창읍,37.3689,128.39723,영월,False
29293,중봉SG태양광,0.994175,강원,강원 삼척시 하장면,37.34944,128.94307,태백,True
56243,준서 태양광,0.9792,강원,강원 홍천군 북방면,37.70557,127.85318999999998,홍천,False
44949,와이엔솔라태양광,2.00196,강원,강원 춘천시 신북읍,37.925903,127.746216,춘천,False
56069,민결 태양광발전소,0.91324,강원,강원도 원주시 호저면,37.411034,127.925705,원주,False
56254,오성태양광발전기,2.00178,강원,강원 영월군 중동면,37.145287,128.68053,영월,True
11937,나래에너지태양광,0.09792,강원,강원 영월군 주천면,37.272186,128.2689,제천,False
4698,태백4호,0.9408,강원,강원도 태백시 통동,37.164215,129.01923,태백,False
4655,태백3호,0.9408,강원,강원도 태백시 통동,37.164215,129.01923,태백,False
62635,태두 태양광,0.0986399999999999,강원,강원도 인제군 인제읍,38.07039,128.17221,인제,False
2508,탑솔라태양광,0.70596,강원,강원 횡성군 공근면,37.536453,127.96177,홍천,False
42426,영동에너지태양광,0.0992,강원,강원 횡성군 서원면,37.48708,127.85055,원주,False
12429,영동화력태양광,1.065,강원,강원 강릉시 강동면,37.728096,128.95422,강릉,False
56351,금광태양광,0.99792,강원,강원 강릉시 사천면,37.82353,128.84872,강릉,False
1293,디에스태양광3호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,철원,True
56016,디에스태양광5호,0.97236,강원,강원 철원군 갈말읍,38.147724,127.308304,철원,True
12476,영월 철도부지 태양광,1.1907,강원,강원 영월군 영월읍,37.187435,128.46606,영월,True
12496,영월복합태양광#1,0.055,강원,강원 영월군,37.183685,128.46178,영월,True
4619,디에스태양광6호,0.99234,강원,강원 인제군 기린면,37.955605,128.31918000000002,인제,True
56012,백운태양광발전소,2.47248,강원,강원 평창군 봉평면,37.61619,128.37949,대관령,True
