,Number,Address,Latitude and Longitude,Capacity
104,151,다복태양광,경북 봉화군 재산면,1.0
105,26611,BEP민정태양광,경북 상주시 오대동,0.99864
106,2454,CB상주태양광,경북 상주시 화동면,1.45638
107,70512,형진쏠라12호태양광,경북 문경시 호계면,2.299
108,13546,누림에너지태양광,경북 의성군 안사면,0.99882
109,58720,진양12호태양광,경북 문경시 호계면,2.97414
110,58716,진양17호태양광,경북 의성군 안계면,1.91079
111,58717,진양23호태양광,경북 예천군 풍양면,1.93347
112,58718,진양25호태양광,경북 경주시 강동면,1.50255
113,69753,현대영주태양광,경북 영주시 장수면,1.0
114,56405,케이에이치테크태양광,경북 구미시 옥성면,1.494675
115,35106,해평정수장침전지태양광,경북 구미시 해평면,0.084
116,17970,고아정공경주태양광,경북 경주시 강동면,0.25
117,7022,고려광칠곡태양광,경북 칠곡군,0.999
118,49957,개천수상태양광,경북 의성군 안계면,2.04782
119,55939,경희솔라제2발전기,경북 의성군 봉양면,1.35
120,66372,한빛에너지,경북 상주시 외남면,0.9936
121,55938,경희솔라제1발전기,경북 의성군 봉양면,1.35
122,6822,경휘울진태양광,경북 울진군 평해읍,0.997
123,6771,경현봉화태양광,경북 봉화군 상운면,0.999
124,2660,한빛2호태양광,경북 군위군 소보면,1.49688
125,56481,한빛1호태양광,경북 군위군 소보면,1.49688
126,2653,한라솔라예천태양광,경북 예천군,0.994
127,66188,한마음에너지태양광,경북 경산시,0.5
128,1636,포항제강1기태양광,경북 포항시 남구,1.1
129,2064,평지저수지수상태양광#1,경북 문경시 산양면,0.70623
130,56414,코리아쏠라에너지태양광,경북 구미시 도개면,0.4446
131,56203,해토태양광,경북 문경시 마성면,2.9988
132,62157,코오롱경주태양광,경북 경주시 양남면,1.0
133,56206,SH화전태양광,경북 의성군 사곡면,0.99684
134,4348,SU799태양광발전기,경북 김천시 율곡동,0.24531
135,1220,도촌봉화태양광#2,경북 봉화군 봉화읍,0.3
136,42340,YES청도태양광,경북 청도군 청도읍,1.72134
137,42347,YNES삼원강재태양광,경북 포항시 남구,1.14318
138,4727,함박산햇빛발전소,경북 영양군 청기면,0.45333
139,35116,구미정수장태양광#2,경북 구미시 고아읍,0.520799
140,67132,한중태양광,경북 영천시 영천산단로,1.2
141,2590,팜스코태양광#4,경북 성주군 월항면,0.68
142,8314,광진쏠라2호태양광,경북 문경시 호계면,2.004975
143,49958,조성수상태양광,경북 의성군 구천면,2.7132
144,56348,제이에스비햇빛발전소,경북 영양군 청기면,0.45333
145,1007,제2수송단태양광,경북 경산시 남천면,3.0912
146,1309,대진태양광,경북 합천군 봉산면,0.469
147,35138,자인정수장태양광,경북 경산시 자인면,0.098
148,40623,도개2호태양광발전소,경북 구미시 도개면,0.99495
149,17356,도덕태양광발전소,경북 의성군 안계면,0.1
150,1678,솔라테크상주태양광,경북 상주시 모동면,0.7
151,51583,일성전력태양광,경북 경주시 강동면,0.0416
152,51456,일광에너지영덕태양광,경북 영덕군 지품면,0.494
153,56676,주원영양태양광#3 발전기,경북,0.6
