,Number,Address,Latitude and Longitude,Capacity
104,47475,원호태양광3호,전남 해남군 황산면,0.5820000000000001
105,47476,원호태양광4호,전남 해남군 황산면,0.5820000000000001
106,58243,지효1호태양광발전기,전남 함평군 함평읍,0.099
107,2084,원호태양광5호,전남 해남군 황산면,0.5820000000000001
108,2085,원호태양광6호,전남 해남군 황산면,0.5820000000000001
109,57941,지오에너지와우1호태양광,전남 나주시 봉황면,0.98289
110,38713,지성태양광,전남 광양시 황길동,0.22464
111,2086,원호태양광7호,전남 해남군 황산면,0.5820000000000001
112,2327,쥴태양광,전남 장성군 남면,0.099
113,2090,월출산영암태양광발전,전남 영암군 영암읍,0.348
114,57071,준태양광,전남 고흥군 도화면,0.09975
115,56360,준에너지태양광,전남 순천시 외서면,2.9952
116,57011,준성태양광,전남 보성군 복내면,0.696
117,56993,준상태양광발전기,전남 화순군 청풍면,0.099
118,47958,유나인장흥태양광,전남 장흥군 관산읍,0.31
119,47998,유니온쏠라에너지태양광,전남 완도군 신지면,0.39168
120,2100,유림솔라태양광,전남 장성군 북이면,0.9936
121,577,주혁태양광,전남 화순군 동면,0.3
122,47473,원호태양광1호,전남 해남군 황산면,0.5820000000000001
123,2083,원호태양광#3,전남 해남군 황산면,0.58968
124,2082,원호태양광#2,전남 해남군 황산면,0.60669
125,2081,원호태양광#1,전남 해남군 황산면,0.39123
126,56373,찬들태양광,전남 해남군 북일면,0.9936
127,46008,우리영암태양광,전남 영암군 신북면,0.539
128,46359,우수영해남태양광,전남 해남군 화원면,1.0
129,2045,우실1호태양광,전남 해남군 황산면,2.956875
130,2046,우실2호태양광,전남 해남군 황산면,0.89474
131,46397,우쏠라에너지태양광,전남 신안군 팔금면,2.004
132,46476,우인에너지태양광,전남 화순군 이양면,0.49504
133,46621,우주태양광발전기,전남 순천시 별량면,0.92929
134,46680,우진태양광c,전남 나주시 세지면,0.09858
135,609,유성태양광발전소,전남 순천시 황전면,0.29736
136,55911,진솔태양광발전소,전남 해남군 북일면,0.49932
137,47046,원광신안태양광,전남 신안군 지도읍,3.0
138,62139,원덕태양광,전남 장성군 북이면,0.878
139,58660,진도쏠라태양광#2,전남 진도군 군내면,0.924
140,58663,진도쏠라태양광#1,전남 진도군 군내면,0.3989999999999999
141,58392,진도솔라에너지태양광,전남 진도군 의신면,1.2
142,58376,진도성환태양광,전남 진도군 군내면,1.0
143,587,진도그린에너지태양광,전남 진도군 의신면,1.704
144,44096,지후 태양광발전소,전남 영암군 학산면,0.0992
145,511,원진에너지 태양광발전소,전남 보성군 보성읍,0.9984
146,48718,진상태양광,전남 순천시 석현동,0.98118
147,56294,유송태양광,전남 해남군 황산면,2.31168
148,48280,유원미래태양광,전남 강진군 군동면,1.47735
149,56519,주식회사 송촌에너지 태양광,전남 나주시 다시면,0.95877
150,545,장성북이일호태양광,전남 장성군 북이면,0.6
151,56305,의수사랑에너지태양광,전남 나주시 공산면,0.49896
152,49971,의신솔라에너지태양광,전남 진도군 의신면,1.2
153,2193,장성복합물류태양광,전남 장성군 서삼면,1.854
154,2326,장성1호태양광,전남 장성군 장성읍,0.924
155,52420,장산신안태양광#2,전남 신안군 장산면,1.5
156,50137,이디에스 주식회사(1호) 태양광,전남 나주시 산포면,0.28512
157,52419,장산신안태양광#1,전남 신안군 장산면,1.5
158,65565,장산2호태양광,전남 장성군 서삼면,0.48804
159,1980,장성영지태양광,전남 장성군 삼계면,0.9996
160,50139,이디에이강진태양광,전남 강진군 성전면,0.5
161,50184,이레태양광,전남 고흥군 점암면,0.09895
162,2184,일출솔라에너지태양광,전남 나주시 공산면,0.9229
163,50545,이에프영암태양광,전남 영암군 신북면,0.3
164,50549,이엔에스영광태양광,전남 영광군 군서면,0.299
165,56316,이한산업제일차 태양광1호,전남 나주시 동수동,0.918
166,56315,이한산업태양광1호,전남 나주시 동수동,0.90576
167,51023,이화태양광,전남 나주시 왕곡면,0.1984
168,51623,일신영광태양광,전남 영광군 군남면,0.3
169,13392,일광태양광,전남 해남군 황산면,0.976
170,50138,이디에이영암태양광,전남 영암군 군서면,0.5
171,45665,용운태양광,전남 보성군 회천면,0.498
172,56326,장지태양광,전남 해남군 황산면,2.5284
173,4616,재원1태양광발전소,전남 영광군 염산면,0.9954
174,48431,유진태양광,전남 화순군 북면,0.995
175,5944,존포1태양광(옛 존포태양광),전남 신안군 존포리,0.994
176,55500,조현준1호태양광발전소,전남 무안군 운남면,0.0972
177,55421,조은태양광,전남 완도 노화읍,0.099
