번호,발전기명,설비용량(MW),광역지역,세부지역
28176,삼성파워1호태양광,2.496,강원,강원 강릉시 강동면
12489,삼척그린파워태양광,0.999,강원,강원 삼척시 원덕읍
35594,순자태양광발전소,0.09928,강원,강원 영월군 남면
29294,유천SG태양광,2.031575,강원,강원 정선군 여량면
5555,강릉제일솔라4호태양광,0.09909,강원,강원 강릉시 사천면
18270,동해시하수종말처리장태양광,2.417,강원,강원 동해시 공단1로
64774,피브이플랜트6호,0.89872,강원,강원 횡성군 갑천면
18280,동해바이오화력본부 태양광,1.992,강원,강원도 동해시
67119,지동리북 태양광발전소,0.99858,강원,강원 평창군 평창읍
56279,웅이태양광,0.99981,강원,강원 삼척시 하장면
1461,내린천태양광,1.41696,강원,강원 홍천군 내면
28170,삼성솔라2호태양광,0.998,강원,강원 양양군 현남면
40923,에스플래닛십호 태양광발전소,1.19925,강원,강원 고성군 현내면
29655,서강2호 태양광,0.49932,강원,강원 강릉시 강동면
44949,와이엔솔라태양광,2.00196,강원,강원 춘천시 신북읍
56309,이에스파워1호,2.74752,강원,강원 정선군 북평면
4721,한교태양광,2.99592,강원,강원 정선군 정선읍
67727,강릉2호태양광발전기,0.99756,강원,강원 강릉시 강동면
38546,썬플러스 7호,1.4976,강원,강원 고성군 토성면
55919,강경솔라팜원삼척1태양광,0.9009,강원,강원 삼척시 원덕읍
56292,유림이피씨 해상태양광발전소,0.99756,강원,강원 고성군 간성읍
55920,강경솔라팜원삼척5태양광,1.26945,강원,강원 삼척시 미로면
33132,간현리태양광2호,1.95129,강원,강원 원주시 지정면
29656,서강레미콘 태양광,0.2964,강원,강원 강릉시 강동면
12429,영동화력태양광,1.065,강원,강원 강릉시 강동면
7528,공산쏠라 태양광,0.999,강원,강원 원주시 소초면
36308,동그라미태양광,0.98728,강원,강원 삼척시 하장면
2508,탑솔라태양광,0.70596,강원,강원 횡성군 공근면
2558,토산태양광,2.74428,강원,강원 삼척시 하장면
787,가곡솔라태양광,0.99756,강원,강원 삼척시 가곡면
56393,최강일태양광,2.00124,강원,강원 영월군 상동급
58076,지이케이 태양광발전소,1.72638,강원,강원 평창군 방림면
63627,토성2호태양광,0.0992,강원,강원 고성군 토성면
1644,원주메탈1기태양광,0.49896,강원,강원 원주시 문막읍
61389,춘천MBC태양광,1.494,강원,강원 춘천시 수변공원길
56102,사북하늘3호 태양광발전소,0.99792,강원,강원도 정선군 사북읍
9103,궁촌1태양광,0.0992,강원,강원 삼척시 근덕면
4655,태백3호,0.9408,강원,강원도 태백시 통동
56208,자등1태양광발전소,0.49896,강원,강원 철원군 서면
15394,대선태양광발전소,0.8812,강원,강원 원주시 소초면
40501,문막포진리 태양광발전소 4호,0.99792,강원,강원 원주시 문막읍
49177,율이서태양광,0.996,강원,강원 철원군 율이리
5698,강원솔라파크태양광,2.995,강원,강원 춘천시 송암동
40924,에스플랜트11호태양광,2.9952,강원,강원 홍천군 북방면
2051,우진영월태양광,0.998,강원,강원 영월군 문곡리
64772,피브이플랜트10호,0.98568,강원,강원 인제군 기린면
56439,테라에너지제일호태양광,0.99792,강원,강원 태백시 원동
24268,배두둑 태양광,0.09747,강원,강원 평창군 대화면
2219,정선 태양광,1.49796,강원,강원 정선군 신동읍
49420,은성쏠라5호태양광,2.4947,강원,강원 횡성군 서원면
12496,영월복합태양광#1,0.055,강원,강원 영월군
56254,오성태양광발전기,2.00178,강원,강원 영월군 중동면
2122,율이리태양광,2.03904,강원,강원 철원군 철원읍
65870,백산태양광발전기,0.996,강원,강원 태백시 백산동
28494,삼포태양광발전소,0.0992,강원,강원도 춘천시 신동면
11937,나래에너지태양광,0.09792,강원,강원 영월군 주천면
