,Number,Address,Latitude and Longitude,Capacity
102,12406,삼천포태양광#5-2,경남 고성군 하이면,6.64704
103,40885,함안태양광,경남 함안군 법수면,0.936
104,5347,갈화태양광,경남 남해군 고현면,0.481275
105,64674,두산솔라파워1호 태양광,경남 창원시 성산구,0.486
106,65888,두량저수지태양광,경남 사천시 사천읍,2.99691
107,50060,이글스에너지태양광#1,경남 창원시 성산구,2.249
108,35121,합천댐수상태양광,경남 합천군,0.099
109,67292,합천솔라태양광,경남 합천군 가회면,1.5
110,64676,두산솔라파워2호 태양광,경남 창원시 성산구,0.999
111,12412,두산엔진 MG태양광,경남 창원시 성산구,0.07722
112,19265,두산중공업 창원러닝센터태양광,경남 창원시 성산구,0.2993099999999999
113,66398,한빛에스지태양광,경남 거창군 웅양면,2.0
114,39235,아폴로솔라5호태양광발전소,경남 남해군 남해읍,2.24532
115,35107,합천수상태양광#2,경남 합천군 용주면,0.497
116,35126,합천수상태양광#3,경남 합천군 대병면,0.099
117,20523,거창미래태양광,경남 거창군 위천면,0.494
118,852,거창에코태양광,경남 거창군,0.998
119,6019,거창온빛태양광,경남 거창군 거창읍,0.59787
120,16477,대한정밀 태양광발전기,경남 양산시 어곡공단4길,0.252
121,6307,덕동하수처리장태양광,경남 창원시 마산합포구 덕동동,1.2
122,1171,대한솔라태양광,경남 창원시 진해구,2.3
123,1488,사천태양광,경남 사천시 사천읍,0.99648
124,13421,피비태선오계2태양광,경남 거창군 남상면,0.974
125,40081,양지에너지태양광,경남 하동군 고전면,0.498
126,873,곤양태양광,경남 사천시 곤양면,0.999
127,63637,LH본사신사옥태양광#1,경남 진주시 충의로,1.04
128,57869,정촌태양광발전소,경남 진주시 정촌면,0.40365
129,48689,티에스2호태양광발전소,경남 남해군 남면,1.21824
130,26381,부일태양광발전소,경남 하동군 적량면,0.099
131,2617,피비태선오계1태양광,경남 거창군 남상면,0.997
132,56308,덕월태양광,경남 남해군 남면,1.29744
133,63113,태영에너지창녕태양광,경남 창녕군 대합면,0.998
134,12409,삼천포태양광#4,경남 고성군 하이면,1.85
135,37046,신세계2호태양광PV,경남 합천군 야로면,0.2976
136,37044,신세계1호태양광PV,경남 합천군 야로면,0.099
137,13426,JK태양광,경남 고성군 대가면,0.99826
138,14246,에스플랜트6호태양광,경남 김해시 한림면,0.67488
139,1731,신기태양광,경남 사천시 사천읍,0.99648
140,62687,태민태양광발전소,경남 산청군 금서면,0.09984
141,68060,대전통영선태양광,경남 고성군 대가면,2.78
142,56538,태광대독발전기,경남 고성군 고성읍,0.40664
143,62513,태광2태양광,경남 하동군 고전면,0.498
144,16126,대일화학,경남 김해시 진례면,1.49544
145,1924,엔에스쏠라제2태양광,경남 창녕군 대합면,2.45
146,9629,그린태양광1호,경남 하동군 고전면,0.1
147,9630,그린태양광2호,경남 하동군 고전면,0.1
148,9631,그린태양광3호,경남 하동군 고전면,0.1
149,1923,엔에스쏠라태양광,경남 창녕군,2.966
150,4603,현창이엔지 태양광발전기,경남 김해시 한림면,0.2992
151,634,클린에코에너지태양광,경남 사천시 서포면,0.4
152,48690,티에스태양광발전소,경남 남해군 남면,1.48392
153,63638,LH본사신사옥태양광#2,경남 진주시 충의로,1.04
154,63004,태양산업발전기,경남 양산시 상북면,0.3024
155,19537,드림라인쏠라파워5호 태양광,경남 의령군 용덕면,1.60083
156,38252,썬그린 태양광,경남 하동군 횡천면,0.4935
157,54040,정우태양광a,경남 고성군 마암면,0.72624
158,884,광명4호태양광,경남 진주시 집현면,0.74106
159,4659,에스비솔라태양광,경남 창원시 진해구,1.4512200000000002
160,29771,서대태양광,경남 남해군 창선면,0.49932
161,841,위천2호햇빛발전소,경남 거창군 위천면,0.49446
162,27154,빛사랑태양광,경남 하동군 북천면,0.498225
163,40515,에버그린에너지 태양광,경남 하동군 횡천면,0.3989999999999999
164,56218,평산태양광,경남 남해군 남면,2.57652
165,6990,의령 고니 태양광,경남 의령군 용덕면,0.98982
166,38035,쌍백태양광,경남 합천군 쌍백면,2.004
167,27555,사천미래태양광,경남 사천시 곤양면,0.8690000000000001
168,906,광호태양광,경남 함양군 백전면,1.4688
169,2267,정진1호 태양광,경남 남해군 고현면,0.4896
170,63921,판곡태양광,경남 고성군 삼산면,0.2948
171,26964,비토태양광,경남 사천시 서포면,0.09856
