,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,bell,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
31,2720,무이태양광발전소,1.48104,강원,강원 평창군 봉평면,37.61619,128.37949,TRUE,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
32,56012,백운태양광발전소,2.47248,강원,강원 평창군 봉평면,37.61619,128.37949,TRUE,대관령,100,37.67713,128.71834,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
33,56428,태양 태양광발전소,2.20095,강원,강원 강릉시 왕산면,37.672684,128.8378,TRUE,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
34,7928,도마리1호태양광,2.106,강원,강원 강릉시 왕산면,37.672684,128.8378,TRUE,강릉,105,37.75147,128.89099,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433
35,2221,정옥햇빛태양광,2.298,강원,강원 정선군 임계면,37.494816,128.85211,TRUE,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
36,33132,간현리태양광2호,1.95129,강원,강원 원주시 지정면,37.362152,127.84019,TRUE,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
37,55919,강경솔라팜원삼척1태양광,0.9009,강원,강원 삼척시 원덕읍,37.176456,129.33572,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
38,12485,삼척소내태양광#4,2.5992,강원,강원 삼척시 원덕읍,37.176456,129.33572,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
39,12473,삼척소내태양광#3,2.00232,강원,강원 삼척시 원덕읍,37.176456,129.33572,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
40,12480,삼척소내태양광#2,0.99045,강원,강원 삼척시 원덕읍,37.176456,129.33572,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
41,12489,삼척그린파워태양광,0.999,강원,강원 삼척시 원덕읍,37.176456,129.33572,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
42,55920,강경솔라팜원삼척5태양광,1.26945,강원,강원 삼척시 미로면,37.41755,129.1125,TRUE,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
43,67726,강릉1호태양광발전기,1.45044,강원,강원 강릉시 강동면,37.728096,128.95422,TRUE,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
44,67727,강릉2호태양광발전기,0.99756,강원,강원 강릉시 강동면,37.728096,128.95422,TRUE,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
45,28176,삼성파워1호태양광,2.496,강원,강원 강릉시 강동면,37.728096,128.95422,TRUE,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
46,28175,삼성솔라ENS,2.002,강원,강원 강릉시 강동면,37.728096,128.95422,TRUE,동해,106,37.50709,129.12433,북강릉,104,37.80456,128.85535,울릉도,115,37.48129,130.89863
47,5698,강원솔라파크태양광,2.995,강원,강원 춘천시 송암동,37.855312,127.69673,TRUE,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
48,61397,춘천태양광,2.898,강원,강원 춘천시 송암동,37.855312,127.69673,TRUE,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
49,28461,삼척GES태양광,0.9982,강원,강원 삼척시 근덕면,37.37928,129.22583,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
50,28465,삼척태양광,2.2032,강원,강원 삼척시 근덕면,37.37928,129.22583,TRUE,동해,106,37.50709,129.12433,울릉도,115,37.48129,130.89863,울진,130,36.99176,129.41278
51,28170,삼성솔라2호태양광,0.998,강원,강원 양양군 현남면,37.96923,128.75948,TRUE,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
52,4627,현대인구리태양광발전소,2.0169,강원,강원 양양군 현남면,37.96923,128.75948,TRUE,북강릉,104,37.80456,128.85535,속초,90,38.25085,128.56473,울릉도,115,37.48129,130.89863
53,40924,에스플랜트11호태양광,2.9952,강원,강원 홍천군 북방면,37.70557,127.85319,TRUE,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
54,33505,소매곡리태양광,0.343,강원,강원 홍천군 북방면,37.70557,127.85319,TRUE,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
55,29294,유천SG태양광,2.031575,강원,강원 정선군 여량면,37.470592,128.72052,TRUE,대관령,100,37.67713,128.71834,동해,106,37.50709,129.12433,정선군,217,37.38149,128.6459
56,1379,미래영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
57,2051,우진영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
58,1408,백광영월태양광,0.996,강원,강원 영월군 문곡리,37.23179,128.42935,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
59,1407,백광영월신재생,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
60,1203,덕원영월태양광,0.998,강원,강원 영월군 문곡리,37.23179,128.42935,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
