,Number,Address,Latitude and Longitude,Capacity
104,56036,맥스에너지2호,경북 의성군 봉양면,0.99882
105,4611,월막1호 태양광발전소,경북 고령군 쌍림면,0.99495
106,4676,월성에너지태양광,경북 의성군 안계면,0.49842
107,65889,만운저수지태양광,경북 안동시 풍산면,2.00736
108,1367,문경솔라팜태양광,경북 문경시 동로면,2.08208
109,56494,마북태양광발전,경북 포항시 북구,2.016
110,1988,예천솔라태양광,경북 예천군 지보면 어신리,1.0
111,43277,영해태양광발전소,경북 영천시 화남면,0.9996
112,40458,에덴에너지,경북 상주시 사벌면,0.49725
113,56099,빛모아 태양광,경북 의성군 안계면,0.99864
114,2661,비안태양광,경북 의성군 비안면,1.99872
115,56202,에스솔라 태양광발전소,경북 성주군 벽진면,0.99648
116,40654,에스에스의성태양광,경북 의성군 안계면,0.489
117,17813,동건태양광,경북 예천군 지보면,0.099
118,1444,부경태양광#1,경북 영양군 석보면,0.992
119,25586,복용쏠라 태양광,경북 상주시 화서면,0.1989999999999999
120,62970,보현산댐태양광,경북 영천시 화북면,2.40185
121,56521,에스피햇빛발전소,경북 영양군 청기면,0.45333
122,56229,엔아이씨안동태양광,경북 안동시 임동면,2.9792
123,1406,배내상주태양광,경북 상주시 이안면,0.995
124,1962,영광1호태양광,경북 김천시 남면,1.996
125,42667,영숙태양광발전소,경북 구미시 도개면,0.099
126,48002,영순태양광,경북 문경시 영순면,1.7009999999999998
127,24960,벽진태양광발전소,경북 성주군 벽진면,0.499536
128,42773,영양미래햇빛발전소,경북 영양군 청기면,0.49896
129,42947,영일태양광발전소,경북 의성 단밀면,0.099
130,38339,영주제1태양광,경북 영주시 안정면,0.493
131,65893,백현수상태양광발전소,경북 구미시 산동면,0.95472
132,24628,백한봉화태양광,경북 봉화군 봉화읍,0.807
133,43103,영진솔라테크태양광,경북 봉화군 상운면,0.902
134,43187,영천화남태양광,경북 영천시 화남면,0.998
135,56250,영파워 태양광발전소,경북 문경시 영순면,0.50625
136,42474,영림3태양광발전소,경북 영천시 화남면,0.9996
137,26143,부남청송태양광,경북 봉화군 재산면,0.22
138,33930,솔라테크예천태양광,경북 예천군 지보면,0.3779999999999999
139,9011,군위솔라태양광,경북 군위군 소보면,2.987
140,56198,내의1호태양광,경북 군위군 소보면,1.49688
141,59641,창환영덕태양광,경북 영덕군 영해면,1.0
142,59805,천광산업영주태양광,경북 영주시 상망동,1.995
143,69872,천북공장태양광,경북 경주시 천북면,0.34476
144,40863,천욱발전영주태양광,경북 영주시 상망동,0.988
145,60107,철도솔라4호태양광,경북 포항시 북구,0.3402
146,55927,남전2호태양광,경북 김천시 개령면,2.00178
147,4701,KCC김천공장태양광,경북 김천시 어모면,5.76
148,55967,남전1호태양광,경북 김천시 개령면,2.00448
149,12399,남도태양광제1기,경북 경산시 용성면,0.99792
150,4645,청리에너지-2,경북 상주시 청리면,0.95238
151,4646,청리에너지,경북 상주시 청리면,0.4995
152,1009,낙동에너지2호,경북 군위군 우보면,0.498
153,12076,나이스쏠라태양광,경북 영천시 임고면,0.09936
154,4632,김천태양광발전소,경북 김천시 개령면,2.00528
155,11657,김천에너빅스태양광,경북 김천시 어모면,9.106
156,2623,김천시하수처리장태양광,경북 김천시 대광동,2.478
157,70513,친환경단구리태양광,경북 경주시 강동면,1.497
158,26436,금호1호태양광발전소,경북 영천시 금호읍,1.49745
159,56396,케이비솔라에너지,경북 상주시 모서면,0.99882
160,17968,케이스타태양광,경북 칠곡군 석적읍,0.46
161,9290,내의2호태양광,경북 군위군 소보면,1.49688
162,56401,케이앤씨 태양광,경북 경산시 진량읍,0.400995
163,58721,진양쏠라20호,경북 문경시 농암면,1.893
164,56350,JL화전태양광,경북 의성군 사곡면,0.19809
165,1100,대광태양광b,경북 영천시 고경면,0.7008
166,2316,죽성솔라태양광,경북 포항시 북구,0.99324
167,57192,중덕태양광발전,경북 상주시 어덕길,0.0976
168,14354,단비발전소,경북 안동시 일직면,0.7
169,1085,다인의성태양광,경북 의성군 다인면,0.994
170,2348,지에이치에너지태양광,경북 영양군 석보면,2.0
171,55979,다산태양광,경북 문경시 산양면,0.99918
172,151,다복태양광,경북 봉화군 재산면,1.0
173,26611,BEP민정태양광,경북 상주시 오대동,0.99864
174,65562,호남태양광,경북 영천시 금호읍,0.5
175,2454,CB상주태양광,경북 상주시 화동면,1.45638
176,1295,DSP2호 태양광발전소,경북 군위군 의흥면,0.45
177,56017,DSP6호태양광,경북 칠곡군 왜관읍,2.031575
178,70512,형진쏠라12호태양광,경북 문경시 호계면,2.299
179,13546,누림에너지태양광,경북 의성군 안사면,0.99882
180,58486,진산태양광,경북 의성군 금성면,0.99552
181,2766,현도태양광,경북 군위군 산성면,0.99792
182,58720,진양12호태양광,경북 문경시 호계면,2.97414
183,58716,진양17호태양광,경북 의성군 안계면,1.91079
184,58717,진양23호태양광,경북 예천군 풍양면,1.93347
185,58718,진양25호태양광,경북 경주시 강동면,1.50255
186,69753,현대영주태양광,경북 영주시 장수면,1.0
187,969,금용태양광,경북 성주군 벽진면,1.25
188,56405,케이에이치테크태양광,경북 구미시 옥성면,1.494675
189,35106,해평정수장침전지태양광,경북 구미시 해평면,0.084
190,7909,광명쏠라1호태양광,경북 의성군 안계면,0.32319
191,7466,골든태양광,경북 안동시 예안면,0.09792
192,66794,한양솔라태양광,경북 군위군 대북리,0.998
193,55924,강천1호태양광,경북 거창군 위천면,0.49446
194,17970,고아정공경주태양광,경북 경주시 강동면,0.25
195,2627,하늘에너지태양광,경북 의성군 금성면,0.996
196,55925,강천2호태양광,경북 거창군 위천면,0.49446
197,7022,고려광칠곡태양광,경북 칠곡군,0.999
198,55941,고경3호태양광,경북 영천시 고경면,0.99756
199,49957,개천수상태양광,경북 의성군 안계면,2.04782
200,65346,하리 태양광발전소(pv),경북 문경시 문경읍,0.093075
201,66635,한세태양광,경북 안동시 풍천면,0.99
202,55939,경희솔라제2발전기,경북 의성군 봉양면,1.35
203,66372,한빛에너지,경북 상주시 외남면,0.9936
204,55938,경희솔라제1발전기,경북 의성군 봉양면,1.35
205,6822,경휘울진태양광,경북 울진군 평해읍,0.997
206,6771,경현봉화태양광,경북 봉화군 상운면,0.999
207,2660,한빛2호태양광,경북 군위군 소보면,1.49688
208,56481,한빛1호태양광,경북 군위군 소보면,1.49688
209,2653,한라솔라예천태양광,경북 예천군,0.994
210,66188,한마음에너지태양광,경북 경산시,0.5
211,64472,푸른태양광발전소,경북 포항시 북구,0.1
212,1636,포항제강1기태양광,경북 포항시 남구,1.1
213,64207,평화태양광,경북 예천군 유천면,0.099
214,2064,평지저수지수상태양광#1,경북 문경시 산양면,0.70623
215,56414,코리아쏠라에너지태양광,경북 구미시 도개면,0.4446
216,56203,해토태양광,경북 문경시 마성면,2.9988
217,62157,코오롱경주태양광,경북 경주시 양남면,1.0
218,56076,해찬태양광발전소,경북 영천시 고경면,0.9984
219,56206,SH화전태양광,경북 의성군 사곡면,0.99684
220,9520,그린에너지태양광,경북 고령군 운수면,0.99351
221,4348,SU799태양광발전기,경북 김천시 율곡동,0.24531
222,9369,그린6태양광,경북 영주시 안정면,0.49896
223,56425,태승가애태양광발전소,경북 상주시 낙동면,0.29565
224,4493,yd솔라에너지,경북 안동시 예안면,0.09792
225,2123,대광태양광c,경북 상주시 화남면,1.9964
226,1220,도촌봉화태양광#2,경북 봉화군 봉화읍,0.3
227,42340,YES청도태양광,경북 청도군 청도읍,1.72134
228,42347,YNES삼원강재태양광,경북 포항시 남구,1.14318
229,4727,함박산햇빛발전소,경북 영양군 청기면,0.45333
230,35116,구미정수장태양광#2,경북 구미시 고아읍,0.520799
231,67132,한중태양광,경북 영천시 영천산단로,1.2
232,5010,가야에너지태양광,경북 의성군 금성면,0.996
233,2590,팜스코태양광#4,경북 성주군 월항면,0.68
234,56075,광찬태양광발전소,경북 영천시 고경면,0.9984
235,8314,광진쏠라2호태양광,경북 문경시 호계면,2.004975
236,8269,광전명도태양광,경북 울진군 죽변면,2.00196
237,56430,태영태양광,경북 안동시 와룡면,0.4896
238,56488,화남제1태양광,경북 칠곡군 동명면,2.99376
239,12400,남도태양광제2기,경북 경산시 용성면,0.49896
240,16444,대한메탈2발전소,경북 경산시 진량읍,0.23868
241,19904,조율태양광,경북 의성군 구천면,1.494
242,49958,조성수상태양광,경북 의성군 구천면,2.7132
243,55292,조문국2호태양광,경북 의성군 금성면,0.0992
244,54997,제이티태양광,경북 예천군 호명면,0.49536
245,56348,제이에스비햇빛발전소,경북 영양군 청기면,0.45333
246,13393,화성태양광,경북 의성군 단북면,1.494
247,71061,제오태양광발전소,경북 의성군 금성면,0.99792
248,4684,제다 태양광발전소,경북 경산시 진량읍,0.99792
249,1294,(주)디에스피이에스1호 태양광,경북 의성군 의성읍,0.504
250,1007,제2수송단태양광,경북 경산시 남천면,3.0912
251,1309,대진태양광,경북 합천군 봉산면,0.469
252,56335,정종솔라3호,경북 상주시 내서면,0.99324
253,56336,정종솔라2호 태양광발전소,경북 상주시 내서면,0.99324
254,45992,화서휴게소태양광,경북 상주시 화서면,0.42978
255,16445,대한메탈1발전소,경북 경산시 진량읍,0.7344
256,16841,덕담태양광발전소,경북 상주시 사벌면,0.495
257,35138,자인정수장태양광,경북 경산시 자인면,0.098
