,date,hour,48683,4711,65561,56280,42342,18272,2065
73,20191204.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,20191204.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,20191204.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,20191204.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,20191204.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,20191204.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,20191204.0,8.0,0.0264,0.0018,0.0,0.00504,0.01344,0.00684,0.010152
80,20191204.0,9.0,0.2328,0.0954,0.01296,0.07272,0.0604799999999999,0.01764,0.07632
81,20191204.0,10.0,0.8376,0.261,0.0342,0.17352,0.21696,0.11268,0.22248
82,20191204.0,11.0,1.2384,0.8316,0.16128,0.39312,0.39264,0.19152,0.39312
83,20191204.0,12.0,2.0064,1.0908,0.17856,0.26568,0.52992,0.26208,0.4976640000000001
84,20191204.0,13.0,2.0064,1.107,0.22104,0.20232,0.63552,0.1731599999999999,0.526968
85,20191204.0,14.0,1.9488,1.0818,0.19188,0.22752,0.6576,0.22716,0.440712
86,20191204.0,15.0,1.524,0.8658,0.17028,0.39168,0.51744,0.18972,0.4439520000000001
87,20191204.0,16.0,0.6672,0.4716,0.09612,0.23688,0.20448,0.099,0.23472
88,20191204.0,17.0,0.1608,0.0666,0.01044,0.02592,0.0336,0.0151199999999999,0.028512
89,20191204.0,18.0,0.0,0.0,0.0,0.0,0.00096,0.0,0.000216
90,20191204.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,20191204.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,20191204.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,20191204.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,20191204.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,20191204.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,20191205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,20191205.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,20191205.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,20191205.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,20191205.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,20191205.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,20191205.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,20191205.0,8.0,0.0504,0.018,0.00108,0.00792,0.0163199999999999,0.00504,0.008568
104,20191205.0,9.0,0.4272,0.2898,0.05796,0.0828,0.18816,0.05076,0.066888
105,20191205.0,10.0,1.2648,0.693,0.15084,0.39312,0.41472,0.15192,0.343296
106,20191205.0,11.0,1.872,0.9846,0.21312,0.56016,0.59712,0.20016,0.5373359999999999
107,20191205.0,12.0,2.1192,1.134,0.24516,0.6350399999999999,0.70176,0.2664,0.616608
108,20191205.0,13.0,2.1552,1.1664,0.252,0.64152,0.7612800000000001,0.279,0.6372720000000001
109,20191205.0,14.0,1.9848,1.0746,0.22644,0.5875199999999999,0.7104,0.252,0.578808
110,20191205.0,15.0,1.5216,0.8604,0.1818,0.45648,0.5616,0.19008,0.4608
111,20191205.0,16.0,0.6408,0.4554,0.09576,0.2304,0.22464,0.10152,0.236304
112,20191205.0,17.0,0.1632,0.0684,0.01296,0.02664,0.04032,0.01656,0.031176
113,20191205.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2e-05
114,20191205.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,20191205.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,20191205.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,20191205.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,20191205.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,20191205.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,20191206.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,20191206.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
