,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude
68,54331,정진2호햇빛발전소,0.29808,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
69,34815,수복 태양광발전소,0.1971,제주,제주특별자치도 서귀포시 대정읍,33.22667,126.25181599999999
70,16182,보성리581-1태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
71,22382,문영태양광,0.06,제주,제주 서귀포시 남원읍,33.279884,126.720665
72,39734,앤씨개발태양광,0.395,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
73,2678,한솔태양광,2.99646,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
74,69522,혁정2호태양광,0.49700000000000005,제주,제주 서귀포시 남원읍,33.279884,126.720665
75,1000,나눔태양광,0.49,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
76,36753,신도리2 태양광,0.09855,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
77,68461,해찬1호태양광,0.09928,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
78,18317,동선태양광,0.09936,제주,제주 서귀포시 안덕면,33.257626,126.33067
79,70134,현인태양광,0.99792,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
80,1152,대원솔라태양광,1.4,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
81,59619,창하태양광,0.098,제주,제주 서귀포시 안덕면,33.257626,126.33067
82,45990,우람2호태양광,0.1,제주,제주 서귀포시 안덕면,33.257626,126.33067
83,36918,신산1호태양광,0.09928,제주,제주 서귀포시 남원읍,33.279884,126.720665
84,33616,소연태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
85,12471,남제주화력소내태양광,0.196,제주,제주 서귀포시 안덕면,33.257626,126.33067
86,4677,유마솔라발전기,0.49896,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
87,37852,신흥1호 태양광발전소,0.9983,제주,제주 서귀포시 남원읍,33.279884,126.720665
88,33107,세정 태양광발전소,0.09928,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
89,11055,기헌태양광,0.1,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
90,56355,81호태양광발전소,2.9960000000000004,제주,제주 서귀포시 안덕면,33.257626,126.33067
91,1032,남정수상상모#2,0.451,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
92,54056,정우태양광발전소,0.2997,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
93,50531,이안태양광,0.25937,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
94,21945,몽치태양광,0.0972,제주,제주 서귀포시 남원읍,33.279884,126.720665
95,1161,제주상모태양광,0.5,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
96,29695,서광2태양광발전기,0.29638000000000003,제주,제주특별자치도 서귀포시 대정읍,33.22667,126.25181599999999
97,1074,성읍리태양광#2,1.248,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
98,51122,인다태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
99,38843,아라태양광,0.29600000000000004,제주,제주 서귀포시 남원읍,33.279884,126.720665
100,5641,강석2호태양광,0.0988,제주,제주 서귀포시 남원읍,33.279884,126.720665
101,39619,알파에너지태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
102,1076,성읍리태양광#1,0.787,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
103,29693,서광 태양광,0.19856,제주,제주 서귀포시 안덕면,33.257626,126.33067
104,56269,하천리상동1호 태양광발전소,0.29784,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
